stim,coherence,difficulty,motionstrength,resp,rt,correct,correctM,trialnr,blocknr,sessionnr,subjnr,baseline_pupil,int1motion,int2motion,rtNorm,decision_pupil,feedback_pupil,trialend_pupil,response_pupil
-1,0.1,4,-1.462255,1,0.15,0,0,36,3,2,10,0.9701813,12.32269,10.86044,0.6293848,0.4038976,0.4983844,-0.05607337,-0.1509282
-1,0.0125,1,-0.4466286,1,0.07999998,0,0,37,3,2,10,1.212326,12.95364,12.50701,-0.3982774,-0.5049754,-0.224708,-1.07992,-0.3836395
-1,0.3,5,-5.133892,-1,0.13,1,1,38,3,2,10,0.3486543,12.54722,7.413333,0.3685416,-0.3475943,0.4697769,-0.6882845,0.04087469
-1,0.025,2,-0.4939346,1,0.13,0,0,39,3,2,10,0.5974358,12.50754,12.0136,0.3685416,-1.621762,-0.7898592,-0.413561,-0.5308343
-1,0.025,2,-0.2362194,1,0.07999998,0,0,40,3,2,10,0.03062371,12.69452,12.4583,-0.3982774,-0.8794203,-0.03239982,-0.02551481,-0.06289504
1,0.1,4,2.089493,1,0.02999997,1,1,41,3,2,10,-1.177781,12.51277,14.60226,-1.4163,1.407443,1.53834,-1.270943,1.283244
1,0.3,5,5.469224,1,0.07999998,1,1,42,3,2,10,-1.122509,12.54157,18.0108,-0.3982774,-0.5947502,0.366108,0.9240171,0.01627699
-1,0.025,2,-0.0583992,-1,0.2,1,1,43,3,2,10,-0.01087734,12.39153,12.33313,1.199743,1.679946,1.793024,1.961591,0.522665
1,0.1,4,2.22275,1,0.02999997,1,1,44,3,2,10,1.701536,12.46279,14.68554,-1.4163,-1.035795,-2.097874,-1.553264,-0.2178375
-1,0.025,2,-0.4200697,1,0.1,0,0,45,3,2,10,-0.3595523,12.71993,12.29986,-0.06867646,-2.308173,-2.638967,-2.640349,0.6110585
1,0.1,4,1.974454,1,0.07999998,1,1,46,3,2,10,-2.983316,12.49722,14.47167,-0.3982774,2.851874,3.106405,1.802512,0.4433878
1,0.0125,1,0.3554411,1,0.1,1,1,47,3,2,10,-0.9946576,12.69555,13.05099,-0.06867646,0.5354601,1.049588,1.383214,-0.4847717
1,0.3,5,5.55373,1,0.08999997,1,1,48,3,2,10,-0.8684312,12.52543,18.07916,-0.2291383,1.389286,1.79922,2.141699,1.00306
1,0.3,5,5.346543,1,0.06999999,1,1,49,3,2,10,1.131766,12.72496,18.0715,-0.5770863,0.8307267,0.9065899,1.368225,0.2666162
1,0.025,2,0.1908426,1,0.06,1,1,50,3,2,10,2.475627,12.6391,12.82994,-0.7667388,-2.171042,-1.905181,-2.146045,-0.6863623
-1,0.1,4,-1.787477,1,0.37,0,0,1,4,2,10,-0.4610645,12.56473,10.77725,1.776034,0.5807422,0.8500981,0.3325502,0.5066087
-1,0.0125,1,-0.01095009,1,0,0,0,2,4,2,10,-0.06745762,12.51545,12.5045,-2.148017,-0.02283305,-0.172732,-0.1547768,-0.1661633
-1,0.05,3,-1.022409,1,0.18,0,0,3,4,2,10,-0.4422829,12.68456,11.66215,0.46272,0.8371971,0.9986003,-0.1465773,0.3512892
1,0.3,5,5.434713,1,0.1,1,1,4,4,2,10,-0.03841379,12.86694,18.30166,-0.3904498,0.3401131,-0.7571157,0.3451263,0.2151009
-1,0.0125,1,-0.08477783,1,0.22,0,0,5,4,2,10,-0.5557957,12.58309,12.49832,0.8013068,1.05451,1.252735,0.9707132,0.8897637
1,0.3,5,5.475528,1,0.04000002,1,1,6,4,2,10,0.3798729,12.63999,18.11552,-1.294846,-0.253861,0.04790848,0.3242312,0.0302623
1,0.3,5,5.902474,1,0.05000001,1,1,7,4,2,10,0.1796265,12.4419,18.34437,-1.119906,-0.2525904,0.184662,0.4349705,0.3272862
1,0.3,5,5.605368,1,0.07999998,1,1,8,4,2,10,-0.0009269982,12.58335,18.18872,-0.6576059,-0.5509253,-0.02804542,0.3867601,-0.1306775
1,0.1,4,1.478419,1,0.04000002,1,1,9,4,2,10,0.8877926,12.70287,14.18129,-1.294846,-0.2515169,-0.184604,-0.636137,-0.7907518
-1,0.05,3,-0.7810507,-1,0.19,1,1,10,4,2,10,0.6123028,12.68672,11.90567,0.5516986,-0.5457035,-0.3656652,-1.10438,-0.4532239
-1,0.025,2,-0.2732782,1,0.25,0,0,11,4,2,10,-1.040502,12.6417,12.36842,1.02853,1.350378,1.59043,0.9279931,1.061068
-1,0.1,4,-1.961939,1,0.18,0,0,12,4,2,10,-0.3070441,12.85773,10.89579,0.46272,0.4487512,1.010051,0.9946987,1.100661
1,0.3,5,5.227067,1,0.1,1,1,13,4,2,10,1.10334,12.61659,17.84365,-0.3904498,-0.2402133,-1.240889,-1.967731,-0.3474365
-1,0.025,2,-0.6273508,-1,0.19,1,1,14,4,2,10,-1.969436,12.89236,12.26501,0.5516986,2.240059,2.317688,2.494545,1.982016
-1,0.3,5,-5.583046,-1,0.13,1,1,15,4,2,10,-0.1540506,12.83517,7.252122,-0.03606516,1.367617,0.713122,-0.7408655,1.228647
1,0.025,2,0.1914301,1,0.02999997,1,1,16,4,2,10,-2.7518,12.69637,12.8878,-1.482758,2.444085,2.437333,2.903918,1.558577
-1,0.05,3,-1.292991,1,0.06,0,0,17,4,2,10,-3.034935,12.90709,11.6141,-0.9562603,3.657831,3.72904,2.953393,2.593652
-1,0.0125,1,-0.3227949,-1,0.14,1,1,18,4,2,10,0.09953391,12.78159,12.4588,0.07185042,0.3471104,0.4717259,0.7714491,0.675239
1,0.1,4,2.199756,1,0.1,1,1,19,4,2,10,-0.6544687,12.47166,14.67142,-0.3904498,-2.633107,-0.2445313,0.5583809,1.2486
-1,0.1,4,-2.329259,-1,0.07999998,1,1,20,4,2,10,-1.107229,12.94018,10.61092,-0.6576059,0.6113871,0.9724607,-0.5029406,0.3889778
1,0.1,4,1.863105,1,0.2,1,1,21,4,2,10,-1.411511,12.53163,14.39474,0.6376606,2.332358,2.459577,1.378751,1.485592
-1,0.025,2,-0.3737936,1,0.27,0,0,22,4,2,10,-0.01738885,12.67049,12.29669,1.169435,-0.8838387,0.0151633,-0.4553428,0.5660256
